system,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hallucination_rate_mean,hallucination_rate_std,abstention_rate_mean,abstention_rate_std,clarification_rate_mean,clarification_rate_std,answer_rate_mean,answer_rate_std,false_rejection_rate_mean,false_rejection_rate_std,answered_correct_rate_mean,answered_correct_rate_std,policy_compliance_rate_mean,policy_compliance_rate_std
full_system,3,0.6917,0.0047,0.9078,0.01,0.4267,0.0047,0.5805,0.0064,0.5733,0.0047,0.2017,0.0047,0.0333,0.0047,0.765,0.0,0.0433,0.0047,0.75,0.0,1.0,0.0
no_clarification,3,0.6717,0.0047,0.9256,0.0017,0.3733,0.0094,0.532,0.0099,0.6267,0.0094,0.2017,0.0047,0.0,0.0,0.7983,0.0047,0.03,0.0,0.7633,0.0047,0.9667,0.0047
no_governance,3,0.6717,0.0047,0.9256,0.0017,0.3733,0.0094,0.532,0.0099,0.6267,0.0094,0.2017,0.0047,0.0,0.0,0.7983,0.0047,0.03,0.0,0.7733,0.0047,0.9667,0.0047
no_policy_rules,3,0.6917,0.0047,0.9078,0.01,0.4267,0.0047,0.5805,0.0064,0.5733,0.0047,0.2017,0.0047,0.0333,0.0047,0.765,0.0,0.0433,0.0047,0.75,0.0,1.0,0.0
no_retriever_confidence,3,0.6917,0.0047,0.9078,0.01,0.4267,0.0047,0.5805,0.0064,0.5733,0.0047,0.2017,0.0047,0.0333,0.0047,0.765,0.0,0.0433,0.0047,0.75,0.0,1.0,0.0
policy_aware,3,0.6917,0.0047,0.9078,0.01,0.4267,0.0047,0.5805,0.0064,0.5733,0.0047,0.2017,0.0047,0.0333,0.0047,0.765,0.0,0.0433,0.0047,0.75,0.0,1.0,0.0
single_agent_rag,3,0.6717,0.0047,0.9256,0.0017,0.3733,0.0094,0.532,0.0099,0.6267,0.0094,0.2017,0.0047,0.0,0.0,0.7983,0.0047,0.03,0.0,0.7733,0.0047,0.9667,0.0047
vanilla_rag,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6433,0.0047,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7733,0.0047,0.765,0.0
